,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
0,AAS,1020,10001,100,Lecture,4,180,Minor Hall 125, 12:30pm - 1:45pm,TuTh,Ashon Crawley
1,AAS,1020,10006,101,Discussion,0,20,New Cabell Hall 111, 6:00pm - 6:50pm,Tu,Eniola Afolayan
2,AAS,1020,10005,102,Discussion,0,20,New Cabell Hall 111, 5:00pm - 5:50pm,Tu,Eniola Afolayan
3,AAS,1020,10004,103,Discussion,0,20,Nau Hall 242, 5:00pm - 5:50pm,We,Ashon Crawley
4,AAS,1020,10003,104,Discussion,0,20,New Cabell Hall 107, 7:00pm - 7:50pm,We,Ashon Crawley
5,AAS,1020,10007,105,Discussion,0,20,New Cabell Hall 107, 7:00pm - 7:50pm,Tu,Eniola Afolayan
6,AAS,1020,10002,106,Discussion,0,20,New Cabell Hall 287, 6:00pm - 6:50pm,We,Ashon Crawley
7,AAS,1020,13095,107,Discussion,0,20,New Cabell Hall 291, 4:00pm - 4:50pm,Tu,Staff
8,AAS,1020,13096,108,Discussion,0,20,New Cabell Hall 107, 5:00pm - 5:50pm,Tu,Staff
9,AAS,1020,13097,109,Discussion,0,20,New Cabell Hall 107, 6:00pm - 6:50pm,Tu,Staff
10,AAS,2224,11702,001,SEM,3,20,New Cabell Hall 315, 2:00pm - 4:30pm,Tu,Lisa Shutt
11,AAS,2224,11922,002,SEM,3,20,New Cabell Hall 315, 2:00pm - 4:30pm,We,Lisa Shutt
12,AAS,2224,19474,003,SEM,3,20,New Cabell Hall 315, 2:00pm - 4:30pm,Th,Lisa Shutt
13,AAS,2559,18124,001,SEM,3,50,Claude Moore Nursing Educ G120, 3:30pm - 6:00pm,We,Tony Perry
14,AAS,2559,18125,002,SEM,3,20,New Cabell Hall 283, 11:00am - 12:15pm,TuTh,Sabrina Pendergrass
15,AAS,3200,18127,001,SEM,3,20,New Cabell Hall 368, 9:30am - 10:45am,TuTh,Mark Hadley
16,AAS,3300,19617,001,SEM,3,22,New Cabell Hall 303, 8:00am - 9:15am,TuTh,Sabrina Pendergrass
17,AAS,3500,12737,001,SEM,3,20,New Cabell Hall 207, 3:30pm - 6:00pm,Tu,Tony Perry
18,AAS,3500,12738,002,SEM,3,24,New Cabell Hall 303, 6:00pm - 8:30pm,Mo,Nzingha Kendall
19,AAS,3500,18119,003,SEM,3,20,New Cabell Hall 489, 3:30pm - 6:00pm,We,Kimberly Fields
20,AAS,3500,18120,004,SEM,3,20,New Cabell Hall 489, 6:30pm - 9:00pm,We,Kimberly Fields
21,AAS,3500,13099,005,SEM,3,15,New Cabell Hall 211, 6:00pm - 8:30pm,Mo,Pamela Reynolds
22,AAS,3500,12740,006,SEM,3,18,New Cabell Hall 115, 3:30pm - 6:00pm,Th,Claire Payton
23,AAS,3500,13644,009,SEM,3,30,Clark Hall 101, 2:00pm - 3:15pm,MoWe,Ethan Madarieta
24,AAS,3500,19876,012,SEM,3,18,Dell 1 104, 11:00am - 12:15pm,TuTh,Brian Smithson
25,AAS,3810,13100,001,SEM,3,20,New Cabell Hall 287, 2:00pm - 3:15pm,TuTh,Sabrina Pendergrass
26,AAS,3830,19614,001,SEM,3,24,New Cabell Hall 338, 3:30pm - 4:45pm,MoWe,Njelle Hamilton
