,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
0,AAS,1020,Introduction to African-American and African Studies II,10006,101,Discussion,0,20,New Cabell Hall 111,Eniola Afolayan,1800,1850,2,0
1,AAS,1020,Introduction to African-American and African Studies II,10005,102,Discussion,0,20,New Cabell Hall 111,Eniola Afolayan,1700,1750,2,0
2,AAS,1020,Introduction to African-American and African Studies II,10004,103,Discussion,0,20,Nau Hall 242,Ashon Crawley,1700,1750,3,0
3,AAS,1020,Introduction to African-American and African Studies II,10003,104,Discussion,0,20,New Cabell Hall 107,Ashon Crawley,1900,1950,3,0
4,AAS,1020,Introduction to African-American and African Studies II,10007,105,Discussion,0,20,New Cabell Hall 107,Eniola Afolayan,1900,1950,2,0
5,AAS,1020,Introduction to African-American and African Studies II,10002,106,Discussion,0,20,New Cabell Hall 287,Ashon Crawley,1800,1850,3,0
6,AAS,1020,Introduction to African-American and African Studies II,13095,107,Discussion,0,20,New Cabell Hall 291,Staff,1600,1650,2,0
7,AAS,1020,Introduction to African-American and African Studies II,13096,108,Discussion,0,20,New Cabell Hall 107,Staff,1700,1750,2,0
8,AAS,1020,Introduction to African-American and African Studies II,13097,109,Discussion,0,20,New Cabell Hall 107,Staff,1800,1850,2,0
9,ANTH,1010,Introduction to Anthropology,12296,101,Discussion,0,20,New Cabell Hall 283,Michael Wenzel,800,850,5,28
10,ANTH,1010,Introduction to Anthropology,12297,102,Discussion,0,20,New Cabell Hall 191,Michael Wenzel,1900,1950,3,28
11,ANTH,1010,Introduction to Anthropology,12298,103,Discussion,0,20,New Cabell Hall 291,Michael Wenzel,1600,1650,1,28
12,ANTH,1010,Introduction to Anthropology,19107,201,Discussion,0,20,The Rotunda Room 150,Nazli Azergun,1200,1250,5,29
13,ANTH,1010,Introduction to Anthropology,19108,202,Discussion,0,20,New Cabell Hall 187,Nazli Azergun,1600,1650,3,29
14,ANTH,1010,Introduction to Anthropology,19109,203,Discussion,0,20,New Cabell Hall 107,Nazli Azergun,1900,1950,1,29
15,ANTH,1010,Introduction to Anthropology,19111,301,Discussion,0,20,New Cabell Hall 209,Xiaolei Qu,830,920,4,30
16,ANTH,1010,Introduction to Anthropology,19112,302,Discussion,0,20,New Cabell Hall 115,Xiaolei Qu,1900,1950,4,30
17,ANTH,1010,Introduction to Anthropology,19113,303,Discussion,0,20,New Cabell Hall 209,Xiaolei Qu,1800,1850,1,30
18,ANTH,2250,"Nationalism, Racism, Multiculturalism",19173,101,Discussion,0,20,Nau Hall 242,Rachel Apone,1700,1750,1,31
19,ANTH,2250,"Nationalism, Racism, Multiculturalism",19174,102,Discussion,0,20,Bryan Hall 235,Gregory Flynn-Sollish,1600,1650,2,31
