,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
0,AAS,1020,Introduction to African-American and African Studies II,10001,100,Lecture,4,180,Minor Hall 125,Ashon Crawley,1230,1345,"2, 4","0, 1, 2, 3, 4, 5, 6, 7, 8"
1,AAS,2224,Black Femininities and Masculinities in the US Media,11702,1,SEM,3,20,New Cabell Hall 315,Lisa Shutt,1400,1630,2,None
2,AAS,2224,Black Femininities and Masculinities in the US Media,11922,2,SEM,3,20,New Cabell Hall 315,Lisa Shutt,1400,1630,3,None
3,AAS,2224,Black Femininities and Masculinities in the US Media,19474,3,SEM,3,20,New Cabell Hall 315,Lisa Shutt,1400,1630,4,None
4,AAS,2559,New Course in African and African American Studies,18124,1,SEM,3,50,Claude Moore Nursing Educ G120,Tony Perry,1530,1800,3,None
5,AAS,2559,New Course in African and African American Studies,18125,2,SEM,3,20,New Cabell Hall 283,Sabrina Pendergrass,1100,1215,"2, 4",None
6,AAS,3200,"Martin, Malcolm and America",18127,1,SEM,3,20,New Cabell Hall 368,Mark Hadley,930,1045,"2, 4",None
7,AAS,3300,Social Science Perspectives on African American and African Studies,19617,1,SEM,3,22,New Cabell Hall 303,Sabrina Pendergrass,800,915,"2, 4",None
8,AAS,3500,Intermediate Seminar in African-American & African Studies,12737,1,SEM,3,20,New Cabell Hall 207,Tony Perry,1530,1800,2,None
9,AAS,3500,Intermediate Seminar in African-American & African Studies,12738,2,SEM,3,24,New Cabell Hall 303,Nzingha Kendall,1800,2030,1,None
10,AAS,3500,Intermediate Seminar in African-American & African Studies,18119,3,SEM,3,20,New Cabell Hall 489,Kimberly Fields,1530,1800,3,None
11,AAS,3500,Intermediate Seminar in African-American & African Studies,18120,4,SEM,3,20,New Cabell Hall 489,Kimberly Fields,1830,2100,3,None
12,AAS,3500,Intermediate Seminar in African-American & African Studies,13099,5,SEM,3,15,New Cabell Hall 211,Pamela Reynolds,1800,2030,1,None
13,AAS,3500,Intermediate Seminar in African-American & African Studies,12740,6,SEM,3,18,New Cabell Hall 115,Claire Payton,1530,1800,4,None
14,AAS,3500,Intermediate Seminar in African-American & African Studies,13644,9,SEM,3,30,Clark Hall 101,Ethan Madarieta,1400,1515,"1, 3",None
15,AAS,3500,Intermediate Seminar in African-American & African Studies,19876,12,SEM,3,18,Dell 1 104,Brian Smithson,1100,1215,"2, 4",None
16,AAS,3810,"Race, Culture and Inequality",13100,1,SEM,3,20,New Cabell Hall 287,Sabrina Pendergrass,1400,1515,"2, 4",None
17,AAS,3830,"Being Human: Race, Technology, and the Arts",19614,1,SEM,3,24,New Cabell Hall 338,Njelle Hamilton,1530,1645,"1, 3",None
18,AAS,4080,Thesis,10008,1,IND,3,10,TBA,Sabrina Pendergrass,TBA,TBA,TBA,None
19,AAS,4080,Thesis,20312,2,IND,3,10,TBA,Njelle Hamilton,TBA,TBA,TBA,None
20,AAS,4080,Thesis,20313,3,IND,3,10,TBA,Justene Hill Edwards,TBA,TBA,TBA,None
21,AAS,4570,Advanced Research Seminar in African-American & African Studies,19616,1,SEM,3,18,Bryan Hall 310,Njelle Hamilton,1400,1515,"1, 3",None
22,AAS,4725,Queer Africas,13509,1,SEM,3,15,New Cabell Hall 036,Kwame Otu,1530,1800,1,None
23,AAS,4993,Independent Study,20549,1,IND,1,30,TBA,Lisa Shutt,TBA,TBA,TBA,None
24,AAS,5559,New Course in African and African American Studies,18137,1,Lecture,3,12,New Cabell Hall 036,Kevin Gaines,1400,1630,2,None
25,SWAH,1020,Introductory Swahili II,12743,1,Lecture,3,16,Brooks Hall 103,Anne Rotich,1000,1050,"1, 3, 5",None
26,SWAH,1020,Introductory Swahili II,12129,2,Lecture,3,16,Brooks Hall 103,Anne Rotich,1100,1150,"1, 3, 5",None
