,Courses,Classes
0," AAS 1020 Introduction to African-American and African Studies II
","10001 100Lecture (4)Wait List (2 / 199) 179 / 180Ashon CrawleyTuTh 12:30pm - 1:45pmMinor Hall 125
"
1," AAS 1020 Introduction to African-American and African Studies II
","10006 101Discussion (0)Wait List (0 / 199) 20 / 20Eniola AfolayanTu 6:00pm - 6:50pmNew Cabell Hall 111
"
2," AAS 1020 Introduction to African-American and African Studies II
","10005 102Discussion (0)Wait List (1 / 199) 21 / 20Eniola AfolayanTu 5:00pm - 5:50pmNew Cabell Hall 111
"
3," AAS 1020 Introduction to African-American and African Studies II
","10004 103Discussion (0)Wait List (2 / 199) 19 / 20Ashon CrawleyWe 5:00pm - 5:50pmNau Hall 242
"
4," AAS 1020 Introduction to African-American and African Studies II
","10003 104Discussion (0)Wait List (0 / 199) 20 / 20Ashon CrawleyWe 7:00pm - 7:50pmNew Cabell Hall 107
"
5," AAS 1020 Introduction to African-American and African Studies II
","10007 105Discussion (0)Wait List (1 / 199) 20 / 20Eniola AfolayanTu 7:00pm - 7:50pmNew Cabell Hall 107
"
6," AAS 1020 Introduction to African-American and African Studies II
","10002 106Discussion (0)Wait List (1 / 199) 20 / 20Ashon CrawleyWe 6:00pm - 6:50pmNew Cabell Hall 287
"
7," AAS 1020 Introduction to African-American and African Studies II
","13095 107Discussion (0)Wait List (1 / 199) 20 / 20StaffTu 4:00pm - 4:50pmNew Cabell Hall 291
"
8," AAS 1020 Introduction to African-American and African Studies II
","13096 108Discussion (0)Wait List (1 / 199) 19 / 20StaffTu 5:00pm - 5:50pmNew Cabell Hall 107
"
9," AAS 1020 Introduction to African-American and African Studies II
","13097 109Discussion (0)Wait List (0 / 199) 20 / 20StaffTu 6:00pm - 6:50pmNew Cabell Hall 107
"
10," AAS 2224 Black Femininities and Masculinities in the US Media
","11702 001SEM (3)Wait List (4 / 199) 20 / 20Lisa ShuttTu 2:00pm - 4:30pmNew Cabell Hall 315
"
11," AAS 2224 Black Femininities and Masculinities in the US Media
","11922 002SEM (3)Wait List (11 / 199) 19 / 20Lisa ShuttWe 2:00pm - 4:30pmNew Cabell Hall 315
"
12," AAS 2224 Black Femininities and Masculinities in the US Media
","19474 003SEM (3)Wait List (2 / 199) 20 / 20Lisa ShuttTh 2:00pm - 4:30pmNew Cabell Hall 315
"
13," AAS 2559 New Course in African and African American Studies
","18124 001SEM (3)Open 35 / 50Tony PerryWe 3:30pm - 6:00pmClaude Moore Nursing Educ G120
"
14," AAS 2559 New Course in African and African American Studies
","18125 002SEM (3)Wait List (4 / 199) 20 / 20Sabrina PendergrassTuTh 11:00am - 12:15pmNew Cabell Hall 283
"
15," AAS 3200 Martin, Malcolm and America
","18127 001SEM (3)Wait List (5 / 199) 11 / 20Mark HadleyTuTh 9:30am - 10:45amNew Cabell Hall 368
"
16," AAS 3300 Social Science Perspectives on African American and African Studies
","19617 001SEM (3)Open 7 / 22Sabrina PendergrassTuTh 8:00am - 9:15amNew Cabell Hall 303
"
17," AAS 3500 Intermediate Seminar in African-American & African Studies
","12737 001SEM (3)Open 9 / 20Tony PerryTu 3:30pm - 6:00pmNew Cabell Hall 207
"
18," AAS 3500 Intermediate Seminar in African-American & African Studies
","12738 002SEM (3)Wait List (2 / 199) 24 / 24Nzingha KendallMo 6:00pm - 8:30pmNew Cabell Hall 303
"
19," AAS 3500 Intermediate Seminar in African-American & African Studies
","18119 003SEM (3)Open, WL (2 / 199) 17 / 20Kimberly FieldsWe 3:30pm - 6:00pmNew Cabell Hall 489
"
20," AAS 3500 Intermediate Seminar in African-American & African Studies
","18120 004SEM (3)Wait List (4 / 199) 20 / 20Kimberly FieldsWe 6:30pm - 9:00pmNew Cabell Hall 489
"
21," AAS 3500 Intermediate Seminar in African-American & African Studies
","13099 005SEM (3)Wait List (2 / 199) 15 / 15Pamela ReynoldsMo 6:00pm - 8:30pmNew Cabell Hall 211
"
22," AAS 3500 Intermediate Seminar in African-American & African Studies
","12740 006SEM (3)Open 13 / 18Claire PaytonTh 3:30pm - 6:00pmNew Cabell Hall 115
"
23," AAS 3500 Intermediate Seminar in African-American & African Studies
","13644 009SEM (3)Open 22 / 30Ethan MadarietaMoWe 2:00pm - 3:15pmClark Hall 101
"
24," AAS 3500 Intermediate Seminar in African-American & African Studies
","19876 012SEM (3)Open 9 / 18Brian SmithsonTuTh 11:00am - 12:15pmDell 1 104
"
25," AAS 3810 Race, Culture and Inequality
","13100 001SEM (3)Wait List (4 / 199) 19 / 20Sabrina PendergrassTuTh 2:00pm - 3:15pmNew Cabell Hall 287
"
26," AAS 3830 Being Human: Race, Technology, and the Arts
","19614 001SEM (3)Open, WL (3 / 199) 11 / 24Njelle HamiltonMoWe 3:30pm - 4:45pmNew Cabell Hall 338
"
27," AAS 4080 Thesis
","10008 001IND (3)Permission1 / 10Sabrina PendergrassTBATBA
"
28," AAS 4080 Thesis
","20312 002IND (3)Permission0 / 10Njelle HamiltonTBATBA
"
29," AAS 4080 Thesis
","20313 003IND (3)Permission1 / 10Justene Hill EdwardsTBATBA
"
30," AAS 4570 Advanced Research Seminar in African-American & African Studies
","19616 001SEM (3)Wait List (1 / 199) 7 / 18Njelle HamiltonMoWe 2:00pm - 3:15pmBryan Hall 310
"
31," AAS 4725 Queer Africas
","13509 001SEM (3)Wait List (7 / 199) 15 / 15Kwame OtuMo 3:30pm - 6:00pmNew Cabell Hall 036
"
32," AAS 4993 Independent Study
","20549 001IND (1 - 12)Open1 / 30Lisa ShuttTBATBA
"
33," AAS 5559 New Course in African and African American Studies
","18137 001Lecture (3)Permission8 / 12Kevin GainesTu 2:00pm - 4:30pmNew Cabell Hall 036
"
34," SWAH 1020 Introductory Swahili II
","12743 001Lecture (3)Open12 / 16Anne RotichMoWeFr 10:00am - 10:50amBrooks Hall 103
"
35," SWAH 1020 Introductory Swahili II
","12129 002Lecture (3)Open15 / 16Anne RotichMoWeFr 11:00am - 11:50amBrooks Hall 103
"
36," SWAH 2020 Intermediate Swahili II
","12397 001SEM (3)Wait List (0 / 199) 16 / 16Anne RotichMoWeFr 12:00pm - 12:50pmBrooks Hall 103
"
37," ANTH 1010 Introduction to Anthropology
","10009 100Lecture (3)Wait List (8 / 199) 59 / 60Giancarlo Rolando BetancourtMoWe 8:00am - 8:50amMaury Hall 104
"
38," ANTH 1010 Introduction to Anthropology
","12296 101Discussion (0)Wait List (3 / 199) 20 / 20Michael WenzelFr 8:00am - 8:50amNew Cabell Hall 283
"
39," ANTH 1010 Introduction to Anthropology
","12297 102Discussion (0)Wait List (4 / 199) 20 / 20Michael WenzelWe 7:00pm - 7:50pmNew Cabell Hall 191
"
40," ANTH 1010 Introduction to Anthropology
","12298 103Discussion (0)Wait List (2 / 199) 19 / 20Michael WenzelMo 4:00pm - 4:50pmNew Cabell Hall 291
"
41," ANTH 1010 Introduction to Anthropology
","19106 200Lecture (3)Wait List (25 / 199) 60 / 60Alison BroachMoWe 12:00pm - 12:50pmMaury Hall 104
"
42," ANTH 1010 Introduction to Anthropology
","19107 201Discussion (0)Wait List (9 / 199) 20 / 20Nazli AzergunFr 12:00pm - 12:50pmThe Rotunda Room 150
"
43," ANTH 1010 Introduction to Anthropology
","19108 202Discussion (0)Wait List (13 / 199) 20 / 20Nazli AzergunWe 4:00pm - 4:50pmNew Cabell Hall 187
"
44," ANTH 1010 Introduction to Anthropology
","19109 203Discussion (0)Wait List (3 / 199) 20 / 20Nazli AzergunMo 7:00pm - 7:50pmNew Cabell Hall 107
"
45," ANTH 1010 Introduction to Anthropology
","19110 300Lecture (3)Open, WL (9 / 199) 59 / 60Lorraine MillsMoWe 3:30pm - 4:20pmMcLeod Hall 2005
"
46," ANTH 1010 Introduction to Anthropology
","19111 301Discussion (0)Open 19 / 20Xiaolei QuTh 8:30am - 9:20amNew Cabell Hall 209
"
47," ANTH 1010 Introduction to Anthropology
","19112 302Discussion (0)Wait List (1 / 199) 20 / 20Xiaolei QuTh 7:00pm - 7:50pmNew Cabell Hall 115
"
48," ANTH 1010 Introduction to Anthropology
","19113 303Discussion (0)Wait List (10 / 199) 20 / 20Xiaolei QuMo 6:00pm - 6:50pmNew Cabell Hall 209
"
49," ANTH 2250 Nationalism, Racism, Multiculturalism
","19172 100Lecture (3)Wait List (27 / 199) 119 / 120Richard HandlerMoWe 4:00pm - 4:50pmWilson Hall 301
"
50," ANTH 2250 Nationalism, Racism, Multiculturalism
","19173 101Discussion (0)Wait List (11 / 199) 20 / 20Rachel AponeMo 5:00pm - 5:50pmNau Hall 242
"
51," ANTH 2250 Nationalism, Racism, Multiculturalism
","19174 102Discussion (0)Wait List (7 / 199) 20 / 20Gregory Flynn-SollishTu 4:00pm - 4:50pmBryan Hall 235
"
52," ANTH 2250 Nationalism, Racism, Multiculturalism
","19175 103Discussion (0)Wait List (1 / 199) 19 / 20Rachel AponeTh 7:00pm - 7:50pmBrooks Hall 103
"
53," ANTH 2250 Nationalism, Racism, Multiculturalism
","19176 104Discussion (0)Wait List (0 / 199) 20 / 20Gregory Flynn-SollishFr 9:00am - 9:50amBryan Hall 328
"
54," ANTH 2250 Nationalism, Racism, Multiculturalism
","19177 105Discussion (0)Wait List (3 / 199) 20 / 20Gregory Flynn-SollishFr 12:00pm - 12:50pmThe Rotunda Room 152
"
55," ANTH 2250 Nationalism, Racism, Multiculturalism
","19178 106Discussion (0)Wait List (8 / 199) 20 / 20Rachel AponeTh 6:00pm - 6:50pmBrooks Hall 103
"
56," ANTH 2280 Medical Anthropology
","11318 100Lecture (3)Wait List (32 / 199) 241 / 240Sylvia TideyMoWe 10:00am - 10:50amWilson Hall 402
"
57," ANTH 2280 Medical Anthropology
","19115 101Discussion (0)Wait List (3 / 199) 20 / 20Zach McKeebyMo 5:00pm - 5:50pmDell 2 102
"
58," ANTH 2280 Medical Anthropology
","19116 102Discussion (0)Wait List (1 / 199) 19 / 20Richard Karl DeangWe 7:00pm - 7:50pmBrooks Hall 103
"
59," ANTH 2280 Medical Anthropology
","19117 103Discussion (0)Wait List (2 / 199) 20 / 20Zach McKeebyMo 4:00pm - 4:50pmNew Cabell Hall 283
"
60," ANTH 2280 Medical Anthropology
","19118 104Discussion (0)Wait List (4 / 199) 20 / 20Zach McKeebyTu 3:30pm - 4:20pmNew Cabell Hall 383
"
61," ANTH 2280 Medical Anthropology
","19121 105Discussion (0)Wait List (3 / 199) 21 / 20Soha TariqTh 5:00pm - 5:50pmNew Cabell Hall 191
"
62," ANTH 2280 Medical Anthropology
","19122 106Discussion (0)Wait List (5 / 199) 20 / 20Richard Karl DeangMo 3:30pm - 4:20pmNew Cabell Hall 485
"
63," ANTH 2280 Medical Anthropology
","19123 107Discussion (0)Wait List (2 / 199) 20 / 20Madeleine JeanTh 3:30pm - 4:20pmNew Cabell Hall 211
"
64," ANTH 2280 Medical Anthropology
","19124 108Discussion (0)Wait List (7 / 199) 20 / 20Madeleine JeanMo 1:00pm - 1:50pmBrooks Hall 103
"
65," ANTH 2280 Medical Anthropology
","19125 109Discussion (0)Wait List (3 / 199) 20 / 20Richard Karl DeangWe 12:00pm - 12:50pmMaury Hall 113
"
66," ANTH 2280 Medical Anthropology
","19126 110Discussion (0)Wait List (3 / 199) 20 / 20Soha TariqMo 9:00am - 9:50amNew Cabell Hall 115
"
67," ANTH 2280 Medical Anthropology
","19127 111Discussion (0)Wait List (7 / 199) 21 / 20Soha TariqFr 10:00am - 10:50amThe Rotunda Room 150
"
68," ANTH 2280 Medical Anthropology
","19128 112Discussion (0)Wait List (3 / 199) 20 / 20Madeleine JeanWe 12:00pm - 12:50pmNew Cabell Hall 485
"
69," ANTH 2375 Disaster
","19168 100Lecture (3)Wait List (21 / 199) 34 / 35Saad QuasemTuTh 9:30am - 10:45amNew Cabell Hall 168
"
70," ANTH 2410 Sociolinguistics
","12541 100Lecture (3)Open, WL (6 / 199) 51 / 60Daniel LefkowitzMoWe 3:30pm - 4:20pmMaury Hall 115
"
71," ANTH 2410 Sociolinguistics
","12542 101Discussion (0)Open, WL (1 / 199) 17 / 20Courtney CoxFr 10:00am - 10:50amThe Rotunda Room 152
"
72," ANTH 2410 Sociolinguistics
","12543 102Discussion (0)Open, WL (3 / 199) 17 / 20Courtney CoxFr 11:00am - 11:50amThe Rotunda Room 150
"
73," ANTH 2410 Sociolinguistics
","12544 103Discussion (0)Open, WL (2 / 199) 17 / 20Courtney CoxTh 2:00pm - 2:50pmThe Rotunda Room 152
"
74," ANTH 2415 Language in Human Evolution
","19160 100Lecture (3)Open, WL (11 / 199) 118 / 120Mark SicoliMoWe 9:00am - 9:50amMinor Hall 125
"
75," ANTH 2415 Language in Human Evolution
","19161 101Discussion (0)Wait List (1 / 199) 20 / 20Miao JiangFr 9:00am - 9:50amNew Cabell Hall 187
"
